Topic # 00,Topic # 01,Topic # 02,Topic # 03,Topic # 04,Topic # 05,Topic # 06,Topic # 07,Topic # 08,Topic # 09,Topic # 10,Topic # 11,Topic # 12,Topic # 13,Topic # 14,Topic # 15,Topic # 16,Topic # 17,Topic # 18,Topic # 19,Topic # 20,Topic # 21,Topic # 22,Topic # 23,Topic # 24,Topic # 25,Topic # 26,Topic # 27,Topic # 28,Topic # 29,Topic # 30,Topic # 31,Topic # 32,Topic # 33,Topic # 34
primary field,utility,nigo,future,r3,list,investment,user login,fund,exist box,rep,change update,total,trust,suppress,trade date,add duplicate,investment,mismatch frq,input file,default,enable,status,crs,fix,taxsupre,provide,short term,primary,accfeeo,note,investor number,validation,letter,folder
field accept,nr4,view,supervisor,miss,threshold,multi,log,code investment,r16list,button,update mode,nr4,exclude,environment,format,message value,multiple issue,actual header,process,wrongly,post,accfmdtl screen,country,audit log,mode,transaction post,short,request,add,panel,address,lump,throw,supervisor
info,taxefil,value report,select,xml report,trnapp,return,ad,function,a21,click,mode,a21 a22,screen account,eligible,wrongly,enter,payment,actual,response file,income,transaction gic,slip accfmdtl,pick,ivrnon,year,product,renewal,batch,advisor,value blank,auto,lump sum,button,dropdown
leave,preprod,count,contact,mode,payment,gross,otp,rule,spool file,match,section,a22,bank account,level,date format,bdl,multi sell,report,response,enter,dii,amend slip,1st,fix slip,report mode,table,maturity date,screen,advisor fee,indicator,issue investor,backdate,click,adjustment
character,library,nigo statistics,action date,capture,panel,regression,click,country,spool,search,preprod,a21,intermediary,r26prntb,follow date,clear,multi,t5prntbr,ts file,dropdown,balance,original slip,create,insurance,frq,type code,renew,equal,trailer,leave blank,alternate,post transaction,otp,process
mandatory,decimal,statistics,nigo contact,nr4,option,post transaction,unitrax,request,a22,gui,allowable,taxefil,accdtl screen,dsc,date date,english,sequence,t3print2,nfu,value provide,provide,t5008,t5008,present,ad hoc,external,auto renewal,accfmlst screen,addmodfee nfu,add,zero,base,attempt,process work
field report,job msgw,exception report,folder queue,nr4 xml,split,transactions,user properties,country code,24,view,environment,run taxefil,accdtl,address,date follow,row,french mode,description box,file schema,free,trnmrede,cancel slip,txt file,amendment slip,hoc,load,different,user id,addmodfee,field leave,slip issue,greater trade,criteria,action
mandatory field,data,mode,queue hold,user t5008,transaction gic,french mode,properties,reject,a21 a22,attribute,value update,taxfextr,client,pre,create date,different,payment type,r3prntbr,report ts,calculate,post transaction,attribute,statement,cancel,recalculation,eft,acigdtl,buy,tfs,19,spousal,decimal,179500 message,layout
rep,end,pdf,user basket,report mode,ts,exist,idp,accept,value capture,gicpit,frq,job taxfextr,tfs,suppress status,populate,throw,drop,deltrale,file process,00,priority,r18 slip,txt,log capture,number,annuitant,acigdtl screen,duplicate,switch,auto,alternate investor,purchase,match,add
click,unable,summary,queue user,tag populate,transaction modify,french,user id,code field,box description,gicpit screen,outq,nr4b,maturity,t5,action,message return,additional,deltrale excel,tin,allowable,unit,duplicate,folder,amendment,present,crs,term term,180714,based,date tab,sin,net,unable,tab layout
